Chemical Name,0.0001_R1,0.0001_R2,0.0001_R3,0.0001_R4,0.0001_R5,0.0001_R6,0.001_R1,0.001_R2,0.001_R3,0.001_R4,0.001_R5,0.001_R6,0.01_R1,0.01_R2,0.01_R3,0.01_R4,0.01_R5,0.01_R6,0.1_R1,0.1_R2,0.1_R3,0.1_R4,0.1_R5,0.1_R6,1_R1,1_R2,1_R3,1_R4,1_R5,1_R6
AC50 min,86.27791025,98.85107305,86.71146759,103.4886443,121.7513463,87.09904004,83.24300889,81.50877954,90.1799263,85.69421681,111.4493093,76.32872863,83.24300889,102.7530891,86.71146759,107.703114,96.46452821,87.56731445,85.84435292,96.68328636,84.11012356,112.8541325,66.49496605,117.0686022,82.37589421,72.83763278,86.27791025,89.90868649,73.05080777,95.9962538
POD min,83.24300889,87.14502493,90.1799263,86.16249122,95.05970499,99.74244908,75.4389768,78.47387817,89.31281162,73.05080777,83.35284477,86.63076563,85.84435292,84.97723824,88.87925428,87.09904004,83.82111918,97.86935144,78.90743551,84.5436809,78.04032083,95.9962538,73.98735659,101.1472723,65.03360069,71.9705181,12.5731628,3.74619527,17.79442753,1.873097635
RfD max,114.0255799,95.81617169,105.3544331,88.97213767,78.20182627,98.80590026,73.70474745,91.48059831,87.57858227,71.17771014,72.58253336,107.2348396,90.61348363,94.94905701,79.34099285,84.28939358,90.84523531,99.74244908,91.04704097,69.80273141,101.0188597,85.69421681,65.09014282,119.4099742,89.74636896,80.64166486,96.24972903,75.86045423,63.6853196,94.12315617
Expo max,91.04704097,90.1799263,101.0188597,82.41629595,90.84523531,98.33762585,85.41079558,91.91415565,97.1168437,69.77288691,66.96324046,95.9962538,93.648385,94.08194234,26.44699762,58.06602669,85.69421681,85.69421681,84.5436809,91.04704097,92.78127032,66.49496605,81.47974713,106.2982908,86.27791025,79.34099285,69.80273141,118.005151,75.86045423,103.4886443
Expo min,79.77455018,101.0188597,97.98395838,108.1713884,89.90868649,73.05080777,103.6202038,92.78127032,75.87253414,112.3858581,98.33762585,92.71833294,91.48059831,79.77455018,112.2913505,110.0444861,93.65488176,90.84523531,94.08194234,82.80945155,89.31281162,120.3465231,92.71833294,107.703114,89.31281162,82.37589421,93.21482766,117.5368766,115.663779,107.2348396
AC50 mx,102.7530891,88.44569694,90.1799263,90.84523531,84.75766799,93.65488176,19.07652287,9.971818773,40.75438977,57.59775228,50.57363615,90.84523531,0.433557338,31.64968567,28.18122697,3.74619527,30.43783657,14.98478108,32.95035768,43.3557338,55.9288966,54.31983142,67.89978928,54.78810583,109.2564492,16.0416215,37.7194884,132.0533833,6.087567314,79.13837509
POD max,76.30609148,105.3544331,95.38261435,89.44041208,109.1079373,112.3858581,91.48059831,106.2215478,8.671146759,93.18660735,116.6003278,102.0838211,5.202688055,27.31411229,5.202688055,51.97845938,12.17513463,13.11168345,1.300672014,3.034901366,16.47517884,0.468274409,0.468274409,9.365488176,1.734229352,19.07652287,3.034901366,1.873097635,5.619292906,3.74619527
RfD min,95.81617169,76.30609148,93.21482766,106.7665652,103.4886443,92.25005853,71.53696076,107.9557772,88.01213961,91.31350972,101.1472723,117.0686022,110.9906785,87.14502493,107.0886625,89.90868649,100.2107235,90.84523531,96.24972903,64.16648602,82.80945155,103.0203699,105.361742,98.33762585,94.51549967,85.41079558,107.0886625,105.8300164,108.1713884,79.13837509
